Model initialized with 560.99M parameters.
Total training tokens: 11,219,763,200 (21,400 iterations)
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Muon: Grouping 80 params of shape torch.Size([1280, 1280]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([1280, 5120]), device cuda:0, dtype torch.float32
Muon: Grouping 20 params of shape torch.Size([5120, 1280]), device cuda:0, dtype torch.float32
Step 00000 | Validation bpb: 2.1619
Step 00000/21400 | loss: 11.090355 | dt: 63931.58ms
Step 00010/21400 | loss: 8.147060 | dt: 486.26ms
Step 00020/21400 | loss: 7.507502 | dt: 540.78ms
Step 00030/21400 | loss: 7.234607 | dt: 494.16ms
Step 00040/21400 | loss: 7.197615 | dt: 530.93ms
Step 00050/21400 | loss: 6.956037 | dt: 533.60ms
Step 00060/21400 | loss: 6.922544 | dt: 482.57ms
Step 00070/21400 | loss: 6.575510 | dt: 539.05ms
Step 00080/21400 | loss: 6.397923 | dt: 482.28ms
Step 00090/21400 | loss: 6.203610 | dt: 481.51ms
Step 00100/21400 | loss: 5.900074 | dt: 481.17ms
Step 00110/21400 | loss: 5.972703 | dt: 565.20ms
Step 00120/21400 | loss: 5.883856 | dt: 480.34ms
Step 00130/21400 | loss: 5.852036 | dt: 485.35ms
Step 00140/21400 | loss: 5.904319 | dt: 483.98ms
Step 00150/21400 | loss: 5.523192 | dt: 487.95ms
Step 00160/21400 | loss: 5.555569 | dt: 481.65ms
Step 00170/21400 | loss: 5.494308 | dt: 523.61ms
Step 00180/21400 | loss: 5.462358 | dt: 529.72ms
Step 00190/21400 | loss: 5.231135 | dt: 490.39ms
Step 00200/21400 | loss: 5.309981 | dt: 470.30ms
Step 00210/21400 | loss: 5.189066 | dt: 520.83ms
Step 00220/21400 | loss: 5.113406 | dt: 481.14ms
Step 00230/21400 | loss: 4.903988 | dt: 532.02ms
Step 00240/21400 | loss: 5.075632 | dt: 472.87ms
Step 00250 | Validation bpb: 0.9570
Step 00250/21400 | loss: 4.900362 | dt: 456.67ms
Step 00260/21400 | loss: 4.825800 | dt: 483.99ms
Step 00270/21400 | loss: 4.867183 | dt: 471.64ms
Step 00280/21400 | loss: 4.833019 | dt: 526.78ms
Step 00290/21400 | loss: 4.669072 | dt: 481.24ms
Step 00300/21400 | loss: 4.770321 | dt: 468.04ms
Step 00310/21400 | loss: 4.876703 | dt: 482.54ms
Step 00320/21400 | loss: 4.630825 | dt: 484.10ms
Step 00330/21400 | loss: 4.989542 | dt: 530.56ms
Step 00340/21400 | loss: 4.694967 | dt: 484.58ms
Step 00350/21400 | loss: 4.423285 | dt: 489.55ms
Step 00360/21400 | loss: 4.584123 | dt: 525.03ms
Step 00370/21400 | loss: 4.636001 | dt: 475.94ms
Step 00380/21400 | loss: 4.702754 | dt: 478.11ms
Step 00390/21400 | loss: 4.584569 | dt: 479.44ms
Step 00400/21400 | loss: 4.427671 | dt: 483.69ms
Step 00410/21400 | loss: 4.702780 | dt: 510.84ms
Step 00420/21400 | loss: 4.447906 | dt: 482.66ms
Step 00430/21400 | loss: 4.368527 | dt: 525.59ms
Step 00440/21400 | loss: 4.461714 | dt: 480.25ms
Step 00450/21400 | loss: 4.386515 | dt: 479.07ms
Step 00460/21400 | loss: 4.509934 | dt: 481.03ms
Step 00470/21400 | loss: 4.539177 | dt: 480.80ms
Step 00480/21400 | loss: 4.455368 | dt: 474.37ms
Step 00490/21400 | loss: 4.427927 | dt: 481.00ms
Step 00500 | Validation bpb: 0.8544
Step 00500/21400 | loss: 4.576742 | dt: 461.78ms
Step 00510/21400 | loss: 4.312639 | dt: 485.61ms
Step 00520/21400 | loss: 4.389379 | dt: 498.24ms
Step 00530/21400 | loss: 4.441136 | dt: 478.87ms
Step 00540/21400 | loss: 4.395313 | dt: 467.25ms
Step 00550/21400 | loss: 4.329618 | dt: 534.66ms
Step 00560/21400 | loss: 4.389589 | dt: 478.86ms
Step 00570/21400 | loss: 4.520941 | dt: 467.66ms
Step 00580/21400 | loss: 4.195042 | dt: 479.87ms
Step 00590/21400 | loss: 4.341678 | dt: 482.95ms
Step 00600/21400 | loss: 4.297517 | dt: 482.65ms
Step 00610/21400 | loss: 4.245063 | dt: 477.87ms
Step 00620/21400 | loss: 4.253448 | dt: 485.01ms
Step 00630/21400 | loss: 4.243952 | dt: 481.92ms
Step 00640/21400 | loss: 4.240942 | dt: 479.25ms
Step 00650/21400 | loss: 4.292131 | dt: 467.93ms
Step 00660/21400 | loss: 4.268111 | dt: 483.64ms
Step 00670/21400 | loss: 4.363546 | dt: 483.69ms
Step 00680/21400 | loss: 4.063264 | dt: 468.82ms
Step 00690/21400 | loss: 4.217001 | dt: 477.15ms
Step 00700/21400 | loss: 4.063052 | dt: 525.46ms
Step 00710/21400 | loss: 4.104161 | dt: 470.95ms
Step 00720/21400 | loss: 4.275206 | dt: 480.70ms
Step 00730/21400 | loss: 4.009845 | dt: 488.80ms
Step 00740/21400 | loss: 4.099181 | dt: 489.53ms
Step 00750 | Validation bpb: 0.8232
Step 00750/21400 | loss: 4.179682 | dt: 459.53ms
Step 00760/21400 | loss: 4.082181 | dt: 480.25ms
Step 00770/21400 | loss: 3.581324 | dt: 479.84ms
Step 00780/21400 | loss: 4.191694 | dt: 489.49ms
Step 00790/21400 | loss: 4.203597 | dt: 481.19ms
Step 00800/21400 | loss: 4.110990 | dt: 479.78ms
Step 00810/21400 | loss: 4.022272 | dt: 489.62ms
Step 00820/21400 | loss: 4.194095 | dt: 467.19ms
Step 00830/21400 | loss: 4.096530 | dt: 604.37ms
Step 00840/21400 | loss: 4.425888 | dt: 526.79ms
Step 00850/21400 | loss: 4.177721 | dt: 487.74ms
Step 00860/21400 | loss: 4.228045 | dt: 478.32ms
Step 00870/21400 | loss: 4.249252 | dt: 482.39ms
Step 00880/21400 | loss: 4.359443 | dt: 479.67ms
Step 00890/21400 | loss: 4.029332 | dt: 481.46ms
Step 00900/21400 | loss: 4.091550 | dt: 479.32ms
Step 00910/21400 | loss: 4.321952 | dt: 482.89ms
Step 00920/21400 | loss: 4.130837 | dt: 476.98ms
Step 00930/21400 | loss: 4.292024 | dt: 480.48ms
Step 00940/21400 | loss: 4.163744 | dt: 484.14ms
Step 00950/21400 | loss: 4.051693 | dt: 483.13ms
Step 00960/21400 | loss: 4.129258 | dt: 463.26ms
Step 00970/21400 | loss: 4.436363 | dt: 486.13ms
Step 00980/21400 | loss: 4.216296 | dt: 478.81ms
Step 00990/21400 | loss: 4.276343 | dt: 479.96ms
Step 01000 | Validation bpb: 0.8020
Step 01000/21400 | loss: 4.098039 | dt: 458.84ms
Step 01010/21400 | loss: 4.166581 | dt: 529.59ms
Step 01020/21400 | loss: 4.036652 | dt: 537.07ms
Step 01030/21400 | loss: 3.973515 | dt: 481.06ms
Step 01040/21400 | loss: 4.004646 | dt: 501.30ms
Step 01050/21400 | loss: 4.082899 | dt: 488.53ms
Step 01060/21400 | loss: 3.942015 | dt: 532.73ms
Step 01070/21400 | loss: 3.906097 | dt: 647.56ms
Step 01080/21400 | loss: 4.113768 | dt: 534.77ms
Step 01090/21400 | loss: 4.066118 | dt: 522.68ms
Step 01100/21400 | loss: 4.152121 | dt: 479.82ms
Step 01110/21400 | loss: 4.089775 | dt: 478.80ms
Step 01120/21400 | loss: 4.125453 | dt: 511.29ms
Step 01130/21400 | loss: 4.075753 | dt: 772.72ms
Step 01140/21400 | loss: 4.103824 | dt: 477.39ms
Step 01150/21400 | loss: 3.999367 | dt: 480.58ms
Step 01160/21400 | loss: 4.041636 | dt: 533.89ms
Step 01170/21400 | loss: 4.041123 | dt: 482.49ms
Step 01180/21400 | loss: 4.013733 | dt: 476.62ms
Step 01190/21400 | loss: 4.155089 | dt: 477.04ms
Step 01200/21400 | loss: 3.869133 | dt: 497.72ms
Step 01210/21400 | loss: 3.914732 | dt: 483.22ms
Step 01220/21400 | loss: 3.946384 | dt: 476.59ms
Step 01230/21400 | loss: 4.012447 | dt: 476.76ms
Step 01240/21400 | loss: 4.139442 | dt: 480.50ms
Step 01250 | Validation bpb: 0.7872
Step 01250/21400 | loss: 4.135944 | dt: 455.48ms
Step 01260/21400 | loss: 3.941835 | dt: 477.32ms
Step 01270/21400 | loss: 4.066453 | dt: 483.80ms
Step 01280/21400 | loss: 4.196958 | dt: 477.56ms
Step 01290/21400 | loss: 3.989405 | dt: 481.27ms
Step 01300/21400 | loss: 4.016831 | dt: 481.17ms
Step 01310/21400 | loss: 3.889412 | dt: 485.17ms
Step 01320/21400 | loss: 4.032130 | dt: 484.70ms
Step 01330/21400 | loss: 3.947908 | dt: 483.02ms
Step 01340/21400 | loss: 4.133843 | dt: 496.08ms
Step 01350/21400 | loss: 3.955039 | dt: 473.40ms
Step 01360/21400 | loss: 4.001679 | dt: 478.50ms
Step 01370/21400 | loss: 3.901742 | dt: 483.34ms
Step 01380/21400 | loss: 4.058741 | dt: 479.26ms
Step 01390/21400 | loss: 3.841343 | dt: 461.90ms
Step 01400/21400 | loss: 4.026919 | dt: 476.07ms
Step 01410/21400 | loss: 3.726100 | dt: 479.31ms
Step 01420/21400 | loss: 4.048863 | dt: 480.73ms
Step 01430/21400 | loss: 3.962058 | dt: 482.85ms
Step 01440/21400 | loss: 3.825602 | dt: 480.51ms
Step 01450/21400 | loss: 3.808024 | dt: 480.78ms
Step 01460/21400 | loss: 4.098113 | dt: 483.42ms
Step 01470/21400 | loss: 4.047565 | dt: 481.83ms
Step 01480/21400 | loss: 4.063725 | dt: 484.25ms
Step 01490/21400 | loss: 4.129658 | dt: 479.13ms
Step 01500 | Validation bpb: 0.7765
Step 01500/21400 | loss: 4.005872 | dt: 462.21ms
Step 01510/21400 | loss: 3.996628 | dt: 488.36ms
Step 01520/21400 | loss: 3.925898 | dt: 478.79ms
Step 01530/21400 | loss: 3.922524 | dt: 480.35ms
Step 01540/21400 | loss: 3.965862 | dt: 485.02ms
Step 01550/21400 | loss: 3.842388 | dt: 479.48ms
